pilot_id,url,first_status,final_status,final_url,redirect_chain,canonical,title,h1,meta_description,robots,content_type,content_length,body_sha256,main_text_sha256,response_time_ms,probed_at
S01,/location/chimney-sweep-repair-in-bloomington-mn/,200,200,https://www.chimcare.com/location/chimney-sweep-repair-in-bloomington-mn/,,https://www.chimcare.com/location/chimney-sweep-repair-in-bloomington-mn/,"Chimney Sweep in Bloomington,MN - Chimcare","Chimney Sweep in Bloomington,MN",,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,503794,8a326032d8d4826563ce95ab2d4544d4cd2e75c940b93fbda6aa5ab59de78769,5515ac6e09674344d9be3feeac2c954c6bc05a5eee5a8ee88fa17d1493bd731a,1920,2026-09-10T11:02:01.700Z
S02,/location/chimney-sweep-repair-in-chanhassen-mn/,200,200,https://www.chimcare.com/location/chimney-sweep-repair-in-chanhassen-mn/,,https://www.chimcare.com/location/chimney-sweep-repair-in-chanhassen-mn/,"Chimney Sweep in Chanhassen,MN - Chimcare","Chimney Sweep in Chanhassen,MN",,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,515912,1790fadc7d6d342a4c87f438e184da2ba0c7b3666a0cbfe66ebc61c53f8bb58a,9769e76ebe781b69af50ef74c6f677f1a4965853165324d225c8e4f6b34ebc12,1584,2026-09-10T11:02:03.735Z
S03,/location/gas-fireplace-repair-in-shakopee-mn/,200,200,https://www.chimcare.com/location/gas-fireplace-repair-in-shakopee-mn/,,https://www.chimcare.com/location/gas-fireplace-repair-in-shakopee-mn/,"Gas Fireplace Repair in Shakopee,MN - Chimcare","Gas Fireplace Repair in Shakopee,MN",,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,516385,fb2d76df8787a2bbe0d730ff1684d649206fa3def8568b53329cf714cd4f4657,224e4b8d720334059bb616982d3cfb43736d895b8935433204941cf31efab3d2,725,2026-09-10T11:02:04.946Z
S04,/location/chimney-sweep-in-white-bear-lake-mn/,200,200,https://www.chimcare.com/location/chimney-sweep-in-white-bear-lake-mn/,,https://www.chimcare.com/location/chimney-sweep-in-white-bear-lake-mn/,"Chimney Sweep in White Bear Lake,MN - Chimcare","Chimney Sweep in White Bear Lake,MN",,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,503229,4fc980347951dde2088119f3f019401c057e3ea624ebe6e34284718f6e1d2537,34e40894ea8d9fd34ca9b8a1fe6f05eb3d0a371190ab4fe45df9b5ff92cfe9e0,1343,2026-09-10T11:02:06.779Z
S05,/locations/mn/,404,404,https://www.chimcare.com/locations/mn/,,,Page not found - Chimcare,Oops! That page can&rsquo;t be found.,,"noindex, follow",text/html; charset=UTF-8,476021,db613b0fc680266ba0127552185ea3f4083f1a63340e9edb6812a1a3750f7597,7d32deae20cbd05f4d12d2c75a715298988b66e78267dc55903a006d6c2d3672,1284,2026-09-10T11:02:08.568Z
S06,/locations/,200,200,https://www.chimcare.com/locations/,,https://www.chimcare.com/locations/,Chimney Service Locations | Chimney Company Near Me | Chimcare,Locations,"Get the address and contact information for each of Chimcare&#039;s chimney service locations in Washington, Oregon, and Ohio. Click on a city near you!","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,502824,61c1eef76dab97efa4d91cf276e05fc25bf6fe127fd085abb0b4593cd472f9d2,a58ff6efa24a6dd06ed6f776d1f934ce1a8599b5679c9655a2fb4c0828209d15,762,2026-09-10T11:02:09.524Z
S07,/location/gas-fireplace-repair-service-in-plymouth-mn/,200,200,https://www.chimcare.com/location/gas-fireplace-repair-service-in-plymouth-mn/,,https://www.chimcare.com/location/gas-fireplace-repair-service-in-plymouth-mn/,"Gas Fireplace Repair & Service in Plymouth,MN - Chimcare","Gas Fireplace Repair &#038; Service in Plymouth,MN",,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,516575,7a5dc0d21855f5d3f9623384c211a813782247b61f3f3a96778afefd9bb6fe2c,9aa80107907bb88b86217c69a4594651ee14d0086eab24eca8f3850caae587a0,695,2026-09-10T11:02:10.710Z
S08,/location/gas-fireplace-service-in-blaine-mn/,200,200,https://www.chimcare.com/location/gas-fireplace-service-in-blaine-mn/,,https://www.chimcare.com/location/gas-fireplace-service-in-blaine-mn/,"Gas Fireplace Service in Blaine,MN - Chimcare","Gas Fireplace Service in Blaine,MN",,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,504107,52d777d784d45faa868f38c7569653616baecefce3d2e1e1022539474ead1016,151a0794d75a78d1b2d63490c2135271583d2e1ba36b04025ff9613e123d60f3,722,2026-09-10T11:02:11.940Z
S09,/location/chimney-sweep-fireplace-in-minneapolis-mn/,200,200,https://www.chimcare.com/location/chimney-sweep-fireplace-in-minneapolis-mn/,,https://www.chimcare.com/location/chimney-sweep-fireplace-in-minneapolis-mn/,"Chimney Sweep & Fireplace Services in Minneapolis, MN - Chimcare","Chimney Sweep &#038; Fireplace Services in Minneapolis, MN","Minneapolis, MN Chimney Sweep: Expert chimney cleaning, inspections, and repairs to keep your home safe and efficient. Trust our professionals for top-quality service. Book now!","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,546345,f9fb0c30f8f50f20d739793d59d93813846aa00db38ee6c6083633ab45465e10,d0e01d530b0cbe704761ed04207a2568650b23ac4a227b1c3688f06bce908a92,272,2026-09-10T11:02:12.462Z
S10,/location/chimney-sweep-fireplace-services-in-saint-paul-mn/,301,200,https://www.chimcare.com/location/chimney-sweep-fireplace-in-st-paul-mn/,301 https://www.chimcare.com/location/chimney-sweep-fireplace-services-in-saint-paul-mn/ -> https://www.chimcare.com/location/chimney-sweep-fireplace-in-st-paul-mn/,https://www.chimcare.com/location/chimney-sweep-fireplace-in-st-paul-mn/,"Chimney Sweep & Fireplace Services in St. Paul, MN - Chimcare","Chimney Sweep &#038; Fireplace Services in St. Paul, MN","Saint Paul, MN Chimney Sweep: Expert chimney cleaning, inspections, and repairs to keep your home safe and efficient. Trust our professionals for top-quality service. Book now!","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html; charset=UTF-8,543902,dfd5383ab9b51d8638d8385a3d2e016b57f608c9140dc84d682075e4f0b9d126,47abea78489f88b131c4588dc1a755d1df7ba683119bd424d9fb77aeca303523,865,2026-09-10T11:02:13.578Z
