slug,url,live_url,title,state,words,blocks_total,blocks_rendered,words_archived,service_links,has_hero_image,meta_description
apartment-chimney-services-in-cambridge-ma,/location/apartment-chimney-services-in-cambridge-ma/,https://chimcare-web.vercel.app/location/apartment-chimney-services-in-cambridge-ma/,"Apartment Chimney Services in Cambridge,MA",ma,633,34,2,549,24,yes,no
apartment-chimney-services-in-dracut-ma,/location/apartment-chimney-services-in-dracut-ma/,https://chimcare-web.vercel.app/location/apartment-chimney-services-in-dracut-ma/,"Apartment Chimney Services in Dracut,MA",ma,599,33,2,502,24,yes,no
apartment-chimney-services-in-leominster-ma,/location/apartment-chimney-services-in-leominster-ma/,https://chimcare-web.vercel.app/location/apartment-chimney-services-in-leominster-ma/,"Apartment Chimney Services in Leominster,MA",ma,1019,54,2,955,25,yes,no
apartment-chimney-services-in-lowell-ma,/location/apartment-chimney-services-in-lowell-ma/,https://chimcare-web.vercel.app/location/apartment-chimney-services-in-lowell-ma/,"Apartment Chimney Services in Lowell,MA",ma,696,39,2,601,23,yes,no
apartment-chimney-services-in-springfield-ma,/location/apartment-chimney-services-in-springfield-ma/,https://chimcare-web.vercel.app/location/apartment-chimney-services-in-springfield-ma/,"Apartment Chimney Services in Springfield,MA",ma,569,32,2,489,24,yes,no
apartment-chimney-services-in-weymouth-ma,/location/apartment-chimney-services-in-weymouth-ma/,https://chimcare-web.vercel.app/location/apartment-chimney-services-in-weymouth-ma/,"Apartment Chimney Services in Weymouth,MA",ma,790,36,2,701,25,yes,no
apartment-chimney-services-in-worcester-ma,/location/apartment-chimney-services-in-worcester-ma/,https://chimcare-web.vercel.app/location/apartment-chimney-services-in-worcester-ma/,"Apartment Chimney Services in Worcester,MA",ma,680,33,2,575,24,yes,no
caps-rain-pans-in-cambridge-ma,/location/caps-rain-pans-in-cambridge-ma/,https://chimcare-web.vercel.app/location/caps-rain-pans-in-cambridge-ma/,"Caps and Rain Pans in Cambridge,MA",ma,725,33,2,624,24,yes,no
caps-rain-pans-in-dracut-ma,/location/caps-rain-pans-in-dracut-ma/,https://chimcare-web.vercel.app/location/caps-rain-pans-in-dracut-ma/,"Caps and Rain Pans in Dracut,MA",ma,698,36,2,601,24,yes,no
caps-rain-pans-in-leominster-ma,/location/caps-rain-pans-in-leominster-ma/,https://chimcare-web.vercel.app/location/caps-rain-pans-in-leominster-ma/,"Caps and Rain Pans in Leominster,MA",ma,1102,55,2,1006,25,yes,no
