pilot_id,audit_id,url,state,city,service_raw,service_canonical,service_match,primary_map_type,clicks,impressions,template,reason_selected
S01,CH0137596,/location/chimney-sweep-repair-in-bloomington-mn/,mn,bloomington,chimney-sweep-repair,,AMBIGUOUS,KEEP,6,1528,CityPage,Highest-click publishable coverage city page; exercises the full city pipeline end to end.
S02,CH0140772,/location/chimney-sweep-repair-in-chanhassen-mn/,mn,chanhassen,chimney-sweep-repair,,AMBIGUOUS,KEEP,5,543,CityPage,"Second publishable coverage city; confirms the city template is reusable, not tuned to one city."
S03,CH0139169,/location/gas-fireplace-repair-in-shakopee-mn/,mn,shakopee,gas-fireplace-repair,gas-fireplace-repair,EXACT_MATCH,KEEP,15,1065,ServicePage,Highest-click service x city URL whose city clears the gate.
S04,CH0139898,/location/chimney-sweep-in-white-bear-lake-mn/,mn,white-bear-lake,chimney-sweep,chimney-sweep,EXACT_MATCH,KEEP,10,2492,ServicePage,"A different service category, so the service template is exercised on more than one catalogue entry."
S05,NOT_IN_UNIVERSE,/locations/mn/,mn,,,,,,0,0,StateHub,"The state hub, driven by the same 150-city dataset. Not a legacy URL: it does not exist in production and is not in the audit universe."
S06,CH0262906,/locations/,,,,,,KEEP,193,63356,NationalHub,"The national hub, driven by the state table. This URL does exist in production."
S07,CH0137618,/location/gas-fireplace-repair-service-in-plymouth-mn/,mn,plymouth,gas-fireplace-repair-service,,RELATED_SERVICE,CREATE,34,2195,LegacyPage,Highest-click live URL whose service is outside the 92-service catalogue: the population ISSUE-009 is about.
S08,CH0137960,/location/gas-fireplace-service-in-blaine-mn/,mn,blaine,gas-fireplace-service,,NOT_MODELED,CREATE,34,2064,LegacyPage,"Second unmodelled service, different phrase, same city pattern."
S09,CH0000109,/location/chimney-sweep-fireplace-in-minneapolis-mn/,mn,minneapolis,chimney-sweep-fireplace,,RELATED_SERVICE,KEEP,89,23759,CityPage (withheld),"Edge case: the highest-click city page in the state, live in WordPress, withheld by our gate because the branch-page extractor misses branch prose. A known defect, on the most valuable page."
S10,CH0262405,/location/chimney-sweep-fireplace-services-in-saint-paul-mn/,mn,saint-paul,chimney-sweep-fireplace-services,,NOT_MODELED,REDIRECT_CROSS_CITY,236,51026,Redirect,"Edge case: 236 clicks, the highest of any Minnesota URL. The fate map calls it a redirect. Directly tests ISSUE-004, production behaviour against the map."
