pilot_id,url,render_url,expected_template,rendered_template,prod_first_status,prod_final_status,local_first_status,local_final_status,prod_final_path,local_final_path,wp_post_id,source_found,rendered_title,rendered_h1,rendered_canonical,rendered_description,rendered_robots,jsonld_blocks,images_total,images_broken,images_no_alt,internal_links,main_text_sha256,check_production_captured,check_status,check_redirect_status,check_final_url,check_template,check_canonical,check_robots,check_title_source,check_description_source,check_h1,check_structured_data,check_images,check_image_alt,check_source_content,verdict
S01,/location/chimney-sweep-repair-in-bloomington-mn/,/location/chimney-sweep-repair-in-bloomington-mn/,CityPage,CityPage,200,200,200,200,/location/chimney-sweep-repair-in-bloomington-mn/,/location/chimney-sweep-repair-in-bloomington-mn/,128339,yes,"Chimney Sweep & Fireplace Services in Bloomington, MN - Chimcare","Chimney Sweep & Fireplace Services in Bloomington, MN",https://www.chimcare.com/location/chimney-sweep-repair-in-bloomington-mn/,"Chimney sweep, inspection, repair and fireplace services in Bloomington, MN. Dust-free cleaning, honest pricing and certified local technicians. Call 612-509-9564.",,1,19,0,0,24,a3afbe4cf1185c8b34dbf00a65859ea9c3fdb9e73479471e65da88ab44df9108,PASS,PASS,N/A,PASS,PASS,PASS,PASS,REVIEW,REVIEW,PASS,PASS,PASS,PASS,PASS,REVIEW
S02,/location/chimney-sweep-repair-in-chanhassen-mn/,/location/chimney-sweep-repair-in-chanhassen-mn/,CityPage,CityPage,200,200,200,200,/location/chimney-sweep-repair-in-chanhassen-mn/,/location/chimney-sweep-repair-in-chanhassen-mn/,132454,yes,"Chimney Sweep & Fireplace Services in Chanhassen, MN - Chimcare","Chimney Sweep & Fireplace Services in Chanhassen, MN",https://www.chimcare.com/location/chimney-sweep-repair-in-chanhassen-mn/,"Chimney sweep, inspection, repair and fireplace services in Chanhassen, MN. Dust-free cleaning, honest pricing and certified local technicians. Call 612-509-9564.",,1,19,0,0,26,63680e273b14005c46b896e1b10b57407e5709361cbb95b27fff9af8ef4690d1,PASS,PASS,N/A,PASS,PASS,PASS,PASS,REVIEW,REVIEW,PASS,PASS,PASS,PASS,PASS,REVIEW
S03,/location/gas-fireplace-repair-in-shakopee-mn/,/location/gas-fireplace-repair-in-shakopee-mn/,ServicePage,ServicePage,200,200,200,200,/location/gas-fireplace-repair-in-shakopee-mn/,/location/gas-fireplace-repair-in-shakopee-mn/,130449,yes,"Gas Fireplace Repair in Shakopee, MN - Chimcare","Gas Fireplace Repair in Shakopee, MN",https://www.chimcare.com/location/gas-fireplace-repair-in-shakopee-mn/,"Gas fireplace repair in Shakopee, MN keeps your home warm and cozy during the chilly months. From ignition issues to valve checks, we ensure smooth, safe operation. Let us maintain your fireplace’s efficiency—schedule your repair today.",,1,4,0,0,11,8ac42f822eced24cdd24a9ee8ef3feb4a82357185d313980b0dc1c653f91cc03,PASS,PASS,N/A,PASS,PASS,PASS,PASS,REVIEW,REVIEW,PASS,PASS,PASS,PASS,PASS,REVIEW
S04,/location/chimney-sweep-in-white-bear-lake-mn/,/location/chimney-sweep-in-white-bear-lake-mn/,ServicePage,ServicePage,200,200,200,200,/location/chimney-sweep-in-white-bear-lake-mn/,/location/chimney-sweep-in-white-bear-lake-mn/,131580,yes,"Chimney Sweep in White Bear Lake, MN - Chimcare","Chimney Sweep in White Bear Lake, MN",https://www.chimcare.com/location/chimney-sweep-in-white-bear-lake-mn/,"Keep your chimney clean and safe with professional chimney sweep services in White Bear Lake, MN. Regular sweeps remove creosote and debris, reducing the risk of fires and ensuring efficient venting. Let us help you maintain a safer, warmer home.",,1,4,0,0,14,973b0643a2b1a8efc33efec394323de610117fc9e6d8e0969a382edecb7f7347,PASS,PASS,N/A,PASS,PASS,PASS,PASS,REVIEW,REVIEW,PASS,PASS,PASS,PASS,PASS,REVIEW
S05,/locations/mn/,/locations/mn/,StateHub,StateHub,404,404,200,200,/locations/mn/,/locations/mn/,,no,Chimcare Locations in Minnesota | Chimney Sweep & Repair,Chimcare Locations in Minnesota,https://www.chimcare.com/locations/mn/,Chimcare serves Minnesota homeowners through 14 branch points across the Twin Cities metro. Find your local Minnesota Chimcare crew.,,1,144,0,0,129,88b971427736e1234673aaf51f702e166e9499c89ba076ff9e2c3d4b3b6634dc,PASS,REVIEW,N/A,PASS,PASS,PASS,PASS,REVIEW,REVIEW,PASS,PASS,PASS,PASS,N/A,REVIEW
S06,/locations/,/locations/,NationalHub,NationalHub,200,200,200,200,/locations/,/locations/,14,yes,"Chimcare Service Locations | Chimney Sweep, Repair & Masonry",Find the Chimcare crew that works your street.,https://www.chimcare.com/locations/,"Find your local Chimcare chimney sweep, repair and masonry crew. Serving homeowners in 1 states.",,1,9,0,0,9,49a000476cebcb100d771cdaff6793ef6a0bba26fe053b50932d8773ef489f75,PASS,PASS,N/A,PASS,PASS,PASS,PASS,REVIEW,REVIEW,PASS,PASS,PASS,PASS,PASS,REVIEW
S07,/location/gas-fireplace-repair-service-in-plymouth-mn/,/admin/preview/legacy/S07/,LegacyPage,LegacyPage,200,200,200,200,/location/gas-fireplace-repair-service-in-plymouth-mn/,/admin/preview/legacy/S07/,128390,yes,Legacy source preview,"Gas Fireplace Repair & Service in Plymouth,MN",,,"noindex, nofollow",0,3,0,0,9,fd5562b3bb8216edb1aebf99432f624ff3ec8de4686fcfb1668e2f4a7f600a37,PASS,PASS,N/A,REVIEW,PASS,REVIEW,REVIEW,REVIEW,REVIEW,PASS,PASS,PASS,PASS,PASS,REVIEW
S08,/location/gas-fireplace-service-in-blaine-mn/,/admin/preview/legacy/S08/,LegacyPage,LegacyPage,200,200,200,200,/location/gas-fireplace-service-in-blaine-mn/,/admin/preview/legacy/S08/,129053,yes,Legacy source preview,"Gas Fireplace Service in Blaine,MN",,,"noindex, nofollow",0,3,0,0,9,4f264bba236bf42147fb6e53e06e158ec5d43f7f0c31c1395adfff9e44c081ab,PASS,PASS,N/A,REVIEW,PASS,REVIEW,REVIEW,REVIEW,REVIEW,PASS,PASS,PASS,PASS,PASS,REVIEW
S09,/location/chimney-sweep-fireplace-in-minneapolis-mn/,/location/chimney-sweep-fireplace-in-minneapolis-mn/,CityPage,CityPage,200,200,200,200,/location/chimney-sweep-fireplace-in-minneapolis-mn/,/location/chimney-sweep-fireplace-in-minneapolis-mn/,90807,yes,"Chimney Sweep & Fireplace Services in Minneapolis, MN - Chimcare","Chimney Sweep & Fireplace Services in Minneapolis, MN",https://www.chimcare.com/location/chimney-sweep-fireplace-in-minneapolis-mn/,"Minneapolis, MN Chimney Sweep: Expert chimney cleaning, inspections, and repairs to keep your home safe and efficient. Trust our professionals for top-quality service. Book now!",,1,19,0,0,93,e67dbe7f9866b57dcb5952a193f9d4ca6db1fb116c5ac64c932369f6ab34e26d,PASS,PASS,N/A,PASS,PASS,PASS,PASS,REVIEW,PASS,PASS,PASS,PASS,PASS,PASS,REVIEW
S10,/location/chimney-sweep-fireplace-services-in-saint-paul-mn/,/location/chimney-sweep-fireplace-services-in-saint-paul-mn/,CityPage,CityPage,301,200,308,200,/location/chimney-sweep-fireplace-in-st-paul-mn/,/location/chimney-sweep-fireplace-in-st-paul-mn/,,no,"Chimney Sweep & Fireplace Services in St. Paul, MN - Chimcare","Chimney Sweep & Fireplace Services in St. Paul, MN",https://www.chimcare.com/location/chimney-sweep-fireplace-in-st-paul-mn/,"Saint Paul, MN Chimney Sweep: Expert chimney cleaning, inspections, and repairs to keep your home safe and efficient. Trust our professionals for top-quality service. Book now!",,1,19,0,0,73,d6f58b0c7419e6179a6c68521df111e97212b1564c1fa0e1df80f77e864f20a4,PASS,PASS,REVIEW,PASS,PASS,PASS,PASS,REVIEW,REVIEW,PASS,PASS,PASS,PASS,N/A,REVIEW
